Program,Service Area,Item,Item Start Date,Item End Date,Execution,Indicator
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Compliance,"The program participates in SASCIE as an annual self-assessment on effectiveness, compliance, and progress in meeting goals."
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Compliance,Partnership Agreements are created for each Section based on SASCIE validation scores and programmatic priorities.
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Needs Improvement,
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Beginning,The program integrates SASCIE into ongoing programming.
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Beginning,"The program reviews Grantee and Delegate goals and objective at Biannual Planning meetings, and formulates any necessary additional program priorities."
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Beginning,The Director of Monitoring and Compliance provides delegate service area leaders with consulting suppport for use of Change Management Toolkit.
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Emerging,
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Implementing,"SASCIE evidence in the Compliance and Execution Electronic Documentation System (CEEDS) is formally audited by the DMC for each Section, and feedback is given to the ED and Section owners, at least two times per year."
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Implementing,The Director of Analysis revises the Inc AceleroStat deck to include any additional program data necessary to check in on progress towards Inc. goals and objections (and program priorities if they exist) at Biannual Planning meeetings.
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Implementing,The leadership team discusses and uses AceleroStat data review to drive programmatic planning and decision-making.
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Implementing,"The ED and program Section leads review progress on Partnership Agreements at least three times per year, with few exceptions."
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Implementing,DMC provides ongoing Change Management advocacy and coordination across service areas. (i)
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Refining,
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Mastering,The program integrates SASCIE and changing community needs into program planning and service delivery. (i)
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Mastering,The Director of Monitoring and Compliance contributes to the development of the network-wide Change Management approach. (i)
Clark County,"Monitoring, Systems & Analysis",SASCIE & Planning,08/12/2022,06/23/2023,Mastering,"The Director of Monitoring and Compliance provides ongoing Change Management advocacy and coordination across service areas ininnovative and expanded ways (e.g. Change Management monitoring, tracking, and professional development."
